,sample,structure,x,y,z,r,parent
0,1,0,3072755.25,4005113.0,5403255.5,1.0,-1
1,10,0,3086677.25,3993673.5,5383447.0,1.0,1
2,20,0,3102528.75,3989386.5,5371532.5,1.0,10
3,37,0,3124044.5,3969370.75,5339052.0,1.0,20
4,46,0,3134786.5,3968665.75,5317204.5,1.0,37
5,50,0,3140255.25,3957732.25,5302411.5,1.0,46
6,56,0,3162685.0,3952244.0,5295575.5,1.0,50
7,57,0,3185599.0,3990126.75,5298439.0,1.0,56
8,60,0,3193357.0,4021624.75,5311337.5,1.0,57
9,66,0,3216107.0,4043538.75,5316032.5,1.0,60
10,70,0,3226841.25,4050806.5,5309505.5,1.0,66
11,75,0,3234161.5,4064841.5,5302275.0,1.0,70
12,80,0,3241216.25,4066070.0,5303782.5,1.0,75
13,76,0,3235685.0,4050869.0,5303286.5,1.0,66
14,89,0,3263028.75,4050863.0,5290427.0,1.0,76
15,100,0,3305716.25,4044703.0,5279724.0,1.0,89
16,104,0,3318911.5,4051511.5,5279427.0,1.0,100
17,97,0,3296177.25,4077029.0,5287614.5,1.0,104
18,98,0,3297880.25,4111761.25,5303798.5,1.0,97
19,93,0,3291411.5,4140372.5,5333931.0,1.0,98
20,86,0,3250161.5,4103659.75,5327954.5,1.0,93
21,85,0,3247153.75,4101107.0,5325122.5,1.0,86
22,77,0,3237614.75,4087372.75,5320040.5,1.0,85
23,64,0,3210724.0,4062941.25,5311853.0,1.0,77
24,62,0,3203013.25,4033226.25,5287536.5,1.0,64
25,63,0,3208942.75,4011892.25,5274724.0,1.0,62
26,69,0,3226825.75,4026497.75,5282568.0,1.0,63
27,79,0,3238216.25,4044728.25,5298204.5,1.0,69
28,81,0,3241286.5,4049038.75,5298470.0,1.0,79
29,82,0,3242435.0,4088607.25,5318009.5,1.0,85
30,83,0,3245388.25,4079078.0,5313970.0,1.0,82
31,88,0,3262513.25,4060576.0,5290493.5,1.0,83
32,87,0,3262310.0,4053288.75,5287427.0,1.0,88
33,84,0,3246560.0,4049044.75,5293388.0,1.0,87
34,73,0,3232216.25,4106870.5,5336013.0,1.0,86
35,65,0,3211911.5,4099259.25,5345833.5,1.0,73
36,67,0,3217286.5,4091003.75,5335993.5,1.0,65
37,71,0,3229896.0,4086171.75,5325107.0,1.0,67
38,68,0,3225677.25,4068488.0,5305243.5,1.0,67
39,72,0,3230810.0,4065529.0,5303716.5,1.0,68
40,78,0,3238177.25,4067870.75,5304568.0,1.0,72
41,102,0,3312364.75,4035728.25,5272142.0,1.0,100
42,96,0,3295388.25,4012497.75,5264810.0,1.0,102
43,94,0,3291989.75,4012497.75,5267736.0,1.0,96
44,95,0,3292013.25,4002167.75,5260814.0,1.0,94
45,91,0,3283060.0,3983017.25,5247997.5,1.0,96
46,90,0,3278239.75,3942445.0,5241130.5,1.0,91
47,92,0,3284833.5,3951755.5,5243005.5,1.0,90
48,103,0,3312536.5,4017388.5,5265755.5,1.0,102
49,101,0,3307521.0,4011228.25,5262829.5,1.0,103
50,2,0,3073341.25,4033441.25,5477314.0,1.0,1
51,3,0,3075747.5,4053322.0,5538587.5,1.0,2
52,8,0,3085849.0,4074046.75,5585958.5,1.0,3
53,12,0,3093060.0,4081404.0,5592986.0,1.0,8
54,16,0,3095982.0,4084372.75,5594864.5,1.0,12
55,23,0,3106786.5,4094097.5,5595849.0,1.0,16
56,31,0,3113997.5,4092874.75,5588798.5,1.0,23
57,32,0,3115075.75,4083800.5,5595943.0,1.0,31
58,26,0,3111528.75,4085861.0,5597837.5,1.0,32
59,25,0,3109810.0,4097751.5,5597782.5,1.0,23
60,35,0,3120567.75,4111726.0,5597806.0,1.0,25
61,34,0,3118794.5,4100148.0,5601290.5,1.0,35
62,30,0,3113396.0,4095900.25,5598861.0,1.0,34
63,33,0,3117575.75,4104415.5,5597904.0,1.0,25
64,38,0,3124560.0,4111144.0,5596751.5,1.0,33
65,40,0,3128271.0,4106884.25,5594954.5,1.0,38
66,39,0,3127138.25,4102624.5,5598743.5,1.0,40
67,14,0,3094224.0,4078902.0,5590079.5,1.0,16
68,13,0,3093966.25,4075203.0,5590072.0,1.0,14
69,19,0,3100786.5,4078695.0,5591950.5,1.0,13
70,9,0,3086505.25,4065507.5,5637392.0,1.0,8
71,29,0,3112771.0,4061900.25,5684900.0,1.0,9
72,42,0,3129544.5,4067951.0,5719665.5,1.0,29
73,43,0,3130661.5,4042369.0,5766228.0,1.0,42
74,47,0,3136599.0,4042443.0,5778685.0,1.0,43
75,55,0,3158138.25,4041788.75,5830263.0,1.0,47
76,58,0,3186169.5,4038779.0,5872798.5,1.0,55
77,59,0,3189833.5,4041757.5,5888552.0,1.0,58
78,54,0,3152763.25,4054538.75,5869591.5,1.0,59
79,22,0,3104997.5,4069777.0,5812462.5,1.0,54
80,18,0,3098435.0,4073882.5,5805474.0,1.0,22
81,7,0,3085833.5,4072833.75,5775845.0,1.0,18
82,4,0,3079903.75,4057531.0,5723404.0,1.0,7
83,5,0,3082271.0,4048460.75,5683950.5,1.0,4
84,6,0,3084653.75,4047798.5,5649364.5,1.0,5
85,11,0,3087638.25,4045917.75,5614720.0,1.0,6
86,15,0,3095310.0,4058175.5,5587068.0,1.0,11
87,17,0,3097177.25,4066136.5,5582134.5,1.0,15
88,21,0,3103544.5,4072181.5,5578849.0,1.0,17
89,24,0,3108599.0,4081328.0,5584329.5,1.0,21
90,28,0,3112239.75,4083722.5,5602896.0,1.0,24
91,27,0,3111653.75,4085599.25,5583204.5,1.0,21
92,36,0,3121778.75,4097118.75,5601646.0,1.0,27
93,41,0,3128880.25,4102036.5,5606669.5,1.0,36
94,44,0,3131911.5,4111171.5,5613771.0,1.0,41
95,45,0,3133708.5,4111780.75,5622572.0,1.0,44
96,52,0,3140841.25,4114194.75,5604767.0,1.0,27
97,53,0,3145646.0,4118653.75,5610728.0,1.0,52
98,51,0,3140255.25,4119083.5,5620622.5,1.0,53
99,48,0,3137927.25,4112991.75,5619661.5,1.0,51
100,49,0,3138513.25,4104386.25,5609802.0,1.0,48
101,61,0,3196396.0,4038419.75,5924107.0,1.0,59
102,74,0,3232583.5,4020968.5,6009868.5,1.0,61
103,99,0,3303333.5,4011613.0,6083286.5,1.0,74
104,105,0,3388708.5,3979140.5,6162329.5,1.0,99
105,106,0,3488552.25,3949185.25,6239716.5,1.0,105
106,107,0,3554255.25,3927355.25,6295993.5,1.0,106
107,108,0,3588927.25,3923701.0,6331489.5,1.0,107
108,109,0,3627028.75,3924296.75,6365001.5,1.0,108
109,110,0,3651083.5,3917601.25,6409243.5,1.0,109
110,112,0,3669669.5,3907849.25,6467743.5,1.0,110
111,114,0,3671950.75,3896591.5,6483677.0,1.0,112
112,113,0,3670482.0,3877755.5,6512165.5,1.0,114
113,115,0,3679083.5,3865206.75,6534900.0,1.0,113
114,111,0,3668435.0,3858445.0,6567552.0,1.0,115
115,116,0,3731153.75,3824464.5,6633962.5,1.0,111
116,117,0,3765255.25,3766560.25,6681404.0,1.0,116
117,118,0,3778364.75,3754386.5,6732892.0,1.0,117
118,119,0,3806380.25,3763511.5,6787029.0,1.0,118
119,120,0,3833935.0,3793974.25,6844349.0,1.0,119
120,121,0,3892466.25,3833552.5,6926306.0,1.0,120
121,122,0,3937278.75,3891966.5,7003435.0,1.0,121
122,123,0,3974263.25,3923620.75,7053876.5,1.0,122
123,124,0,4009060.0,3926081.75,7124935.0,1.0,123
124,125,0,4049638.25,3943683.25,7195247.5,1.0,124
125,126,0,4059825.75,3959517.25,7239728.0,1.0,125
126,127,0,4071114.75,3990558.25,7305810.0,1.0,126
127,128,0,4096013.25,4032052.5,7373251.5,1.0,127
