,sample,structure,x,y,z,r,parent
0,1,0,3738958.5,2600203.0,9734380.0,1.0,-1
1,3,0,3784942.75,2589193.0,9730329.0,1.0,1
2,5,0,3805888.25,2578917.75,9729282.0,1.0,3
3,6,0,3807646.0,2575665.75,9723446.0,1.0,5
4,8,0,3810075.75,2571402.0,9720360.0,1.0,6
5,7,0,3808263.25,2562298.5,9710642.0,1.0,8
6,9,0,3812903.75,2552556.5,9710450.0,1.0,7
7,18,0,3833857.0,2547775.25,9711966.0,1.0,9
8,14,0,3827474.0,2554392.25,9709657.0,1.0,8
9,10,0,3813677.25,2547242.0,9706606.0,1.0,14
10,11,0,3818411.5,2571988.0,9712692.0,1.0,6
11,12,0,3822591.25,2564115.0,9705677.0,1.0,11
12,2,0,3768817.75,2588017.25,9737157.0,1.0,1
13,4,0,3805872.5,2575632.5,9738243.0,1.0,2
14,13,0,3827419.5,2559271.25,9736372.0,1.0,4
15,16,0,3829685.0,2558046.75,9737329.0,1.0,13
16,15,0,3828583.5,2553142.25,9733360.0,1.0,16
17,17,0,3833849.0,2551347.5,9736325.0,1.0,15
18,21,0,3847708.5,2551945.0,9738106.0,1.0,16
19,30,0,3876982.0,2523964.5,9752009.0,1.0,21
20,39,0,3894888.25,2524552.5,9792681.0,1.0,30
21,42,0,3899169.5,2525775.25,9805548.0,1.0,39
22,44,0,3902341.25,2523890.5,9825310.0,1.0,42
23,41,0,3898278.75,2525783.0,9829204.0,1.0,42
24,46,0,3908536.5,2517263.5,9833188.0,1.0,41
25,52,0,3912911.5,2513587.75,9830103.0,1.0,46
26,50,0,3912857.0,2506136.5,9830251.0,1.0,52
27,40,0,3896708.5,2520820.0,9830235.0,1.0,50
28,35,0,3884411.5,2523249.75,9828325.0,1.0,40
29,29,0,3876419.5,2529380.5,9827173.0,1.0,35
30,23,0,3862060.0,2536886.5,9821380.0,1.0,29
31,24,0,3863239.75,2531497.75,9821325.0,1.0,23
