,sample,structure,x,y,z,r,parent
0,1,0,5056021.0,863054.375,9797497.0,1.0,-1
1,2,0,5097255.5,853616.875,9797497.0,1.0,1
2,3,0,5116810.0,847163.75,9801552.0,1.0,2
3,4,0,5179529.0,849730.1875,9785853.0,1.0,3
4,8,0,5248279.0,844175.5,9770981.0,1.0,4
5,15,0,5271607.0,838101.25,9764099.0,1.0,8
6,22,0,5308021.0,836237.0,9753126.0,1.0,15
7,19,0,5301443.0,835050.5,9749220.0,1.0,22
8,16,0,5274489.5,811596.375,9723040.0,1.0,19
9,14,0,5266279.0,797181.3125,9701649.0,1.0,16
10,13,0,5265005.5,776303.375,9679009.0,1.0,14
11,12,0,5259622.5,761790.6875,9664169.0,1.0,13
12,11,0,5257232.0,743458.6875,9629591.0,1.0,12
13,9,0,5248888.0,723577.8125,9589118.0,1.0,11
14,10,0,5250083.5,712029.9375,9562333.0,1.0,9
15,7,0,5245950.5,690766.3125,9525751.0,1.0,10
16,6,0,5244771.0,679781.9375,9504060.0,1.0,7
17,5,0,5237521.0,666963.5625,9469474.0,1.0,6
18,17,0,5276935.0,769263.375,9665185.0,1.0,13
19,18,0,5292489.5,757667.6875,9640431.0,1.0,17
20,20,0,5303271.0,753417.6875,9624591.0,1.0,18
21,21,0,5307427.0,747975.25,9613817.0,1.0,20
22,23,0,5324341.5,741886.4375,9595001.0,1.0,21
23,24,0,5327177.0,736404.9375,9579185.0,1.0,23
24,26,0,5356443.0,738200.875,9556583.0,1.0,24
25,27,0,5376732.0,752811.1875,9553653.0,1.0,26
26,29,0,5390466.5,755255.5625,9537618.0,1.0,27
27,30,0,5428716.5,749765.3125,9498138.0,1.0,29
28,31,0,5432318.0,752228.1875,9488267.0,1.0,30
29,33,0,5448286.5,754611.0,9477403.0,1.0,31
30,25,0,5342075.5,835630.5625,9747149.0,1.0,22
31,28,0,5382255.5,838071.0,9741208.0,1.0,25
32,32,0,5438880.5,841109.0625,9726130.0,1.0,28
33,34,0,5479216.5,847821.0,9743267.0,1.0,32
34,35,0,5519333.5,848443.0625,9735329.0,1.0,34
35,36,0,5568529.0,851798.5,9725341.0,1.0,35
36,37,0,5623622.5,872777.0625,9723481.0,1.0,36
37,45,0,5686982.0,891641.3125,9728388.0,1.0,37
38,51,0,5728185.0,909290.6875,9727356.0,1.0,45
39,55,0,5771107.0,923291.6875,9724267.0,1.0,51
40,59,0,5802177.0,939161.8125,9724126.0,1.0,55
41,64,0,5832318.0,953120.8125,9721536.0,1.0,59
42,75,0,5852669.5,960448.9375,9721509.0,1.0,64
43,77,0,5876810.0,972064.125,9720642.0,1.0,75
44,86,0,5904208.5,978699.875,9717563.0,1.0,77
45,89,0,5938411.5,990269.25,9706673.0,1.0,86
46,94,0,5981521.0,996421.5625,9692935.0,1.0,89
47,101,0,6002974.0,997575.875,9686864.0,1.0,94
48,107,0,6024771.0,991465.5,9674950.0,1.0,101
49,111,0,6050724.0,981134.4375,9658235.0,1.0,107
50,116,0,6069864.5,960444.0,9627614.0,1.0,111
51,129,0,6100779.0,950107.125,9596013.0,1.0,116
52,134,0,6145130.5,937319.0,9549575.0,1.0,129
53,138,0,6173411.5,933640.3125,9523884.0,1.0,134
54,141,0,6194130.5,942780.9375,9517782.0,1.0,138
55,143,0,6215036.5,971935.25,9535720.0,1.0,141
