,sample,structure,x,y,z,r,parent
0,1,0,3828599.0,2967845.5,9843091.0,1.0,-1
1,2,0,3838177.25,2960472.5,9848931.0,1.0,1
2,9,0,3866216.25,2937040.75,9839192.0,1.0,2
3,14,0,3869599.0,2936091.5,9840063.0,1.0,9
4,8,0,3861419.5,2950181.5,9842169.0,1.0,14
5,18,0,3876888.25,2931828.0,9831118.0,1.0,14
6,12,0,3867427.25,2933070.0,9834724.0,1.0,18
7,34,0,3889536.5,2930115.0,9821341.0,1.0,18
8,46,0,3903192.75,2933816.25,9808935.0,1.0,34
9,55,0,3911044.5,2931855.25,9797856.0,1.0,46
10,57,0,3915950.75,2927542.75,9793481.0,1.0,55
11,63,0,3918982.0,2923929.5,9783755.0,1.0,57
12,69,0,3921810.0,2936339.5,9778810.0,1.0,63
13,74,0,3928364.75,2950081.75,9775774.0,1.0,69
14,72,0,3923294.5,2964708.75,9776368.0,1.0,74
15,67,0,3921216.25,2919939.25,9781821.0,1.0,63
16,62,0,3918810.0,2916464.5,9776853.0,1.0,67
17,56,0,3912919.5,2917843.5,9781774.0,1.0,62
18,49,0,3909692.75,2923902.0,9785646.0,1.0,56
19,45,0,3901505.25,2927546.75,9784751.0,1.0,49
20,36,0,3890747.5,2932351.25,9787817.0,1.0,45
21,23,0,3880286.5,2933027.0,9784587.0,1.0,36
22,20,0,3877599.0,2939492.0,9778755.0,1.0,23
23,21,0,3879989.75,2950404.0,9776821.0,1.0,36
24,37,0,3890763.25,2921036.75,9799739.0,1.0,49
25,17,0,3874622.5,2923281.0,9825282.0,1.0,37
26,13,0,3868622.5,2927572.0,9834157.0,1.0,17
27,64,0,3919403.75,2913533.0,9770911.0,1.0,62
28,68,0,3921630.25,2909906.0,9765966.0,1.0,64
29,47,0,3908044.5,2894140.5,9766200.0,1.0,68
30,42,0,3899575.75,2862402.0,9770962.0,1.0,47
31,35,0,3890732.0,2830148.25,9768868.0,1.0,42
32,33,0,3888372.5,2814218.5,9768903.0,1.0,35
33,28,0,3882482.0,2788044.75,9763216.0,1.0,33
34,31,0,3886521.0,2772994.0,9751271.0,1.0,28
35,32,0,3886567.75,2775165.75,9747149.0,1.0,31
36,24,0,3880583.5,2788083.75,9735321.0,1.0,32
37,29,0,3882974.0,2799152.0,9734286.0,1.0,24
38,27,0,3882364.75,2800892.25,9734329.0,1.0,29
39,22,0,3880130.25,2800624.75,9723450.0,1.0,27
40,16,0,3872232.0,2807701.0,9718466.0,1.0,22
41,10,0,3866263.25,2804494.0,9716567.0,1.0,16
42,26,0,3881200.75,2802132.5,9737372.0,1.0,27
43,19,0,3877474.0,2798431.5,9743063.0,1.0,26
44,25,0,3881185.0,2805195.0,9740228.0,1.0,26
45,38,0,3891200.75,2766519.25,9751595.0,1.0,31
46,30,0,3883567.75,2771320.0,9756138.0,1.0,38
47,15,0,3871646.0,2772906.0,9755075.0,1.0,30
48,11,0,3866271.0,2787507.5,9729388.0,1.0,15
49,7,0,3860716.25,2802160.0,9684587.0,1.0,11
50,6,0,3859107.0,2814923.5,9674028.0,1.0,7
51,5,0,3858482.0,2822029.0,9664169.0,1.0,6
52,3,0,3856099.0,2817589.5,9670048.0,1.0,6
53,41,0,3897325.75,2760083.75,9747149.0,1.0,38
54,70,0,3922427.25,2749767.25,9740216.0,1.0,41
55,78,0,3954099.0,2738122.75,9729396.0,1.0,70
56,82,0,3985755.25,2728507.5,9741392.0,1.0,78
57,89,0,4008825.75,2719943.0,9745188.0,1.0,82
58,95,0,4037146.0,2720976.25,9725415.0,1.0,89
59,98,0,4064630.25,2721941.25,9725399.0,1.0,95
60,135,0,4111357.0,2699331.75,9691177.0,1.0,98
61,138,0,4127942.75,2695415.75,9680927.0,1.0,135
62,140,0,4136341.25,2688923.5,9676942.0,1.0,138
