,sample,structure,x,y,z,r,parent
0,1,0,5569474.0,1971036.875,11265524.0,1.0,-1
1,2,0,5584060.0,2005714.625,11251677.0,1.0,1
2,4,0,5604927.0,2069919.625,11220868.0,1.0,2
3,6,64,5616364.5,2125111.0,11207067.0,1.0,4
4,5,192,5614849.0,2140933.25,11201231.0,1.0,6
5,7,0,5622318.0,2178615.0,11178310.0,1.0,5
6,8,0,5664716.5,2220687.25,11151685.0,1.0,7
7,14,0,5717927.0,2249302.5,11120024.0,1.0,8
8,23,0,5768716.5,2270009.5,11072853.0,1.0,14
9,26,0,5781200.5,2279447.0,11022771.0,1.0,23
10,31,0,5811114.5,2290038.75,10990720.0,1.0,26
11,35,0,5835989.5,2293064.25,10992673.0,1.0,31
12,42,0,5850575.5,2300451.0,10954110.0,1.0,35
13,54,0,5873286.5,2314447.0,10888845.0,1.0,42
14,57,0,5905989.5,2333378.75,10823626.0,1.0,54
15,60,0,5967294.5,2333910.0,10875028.0,1.0,57
16,64,0,6005904.0,2342421.75,10869142.0,1.0,60
17,68,0,6030443.0,2357749.75,10828462.0,1.0,64
18,75,0,6057286.5,2368062.25,10797872.0,1.0,68
19,80,0,6088364.5,2372847.5,10785134.0,1.0,75
20,82,0,6093739.5,2376494.0,10768181.0,1.0,80
21,89,0,6134396.0,2388615.0,10729763.0,1.0,82
22,99,0,6197724.0,2392406.0,10702188.0,1.0,89
23,104,0,6232372.5,2396105.25,10660743.0,1.0,99
24,117,0,6276614.5,2395990.0,10622778.0,1.0,104
25,142,0,6335122.5,2391283.0,10586392.0,1.0,117
26,148,0,6379958.5,2387535.0,10565614.0,1.0,142
27,157,0,6407450.5,2380033.0,10503489.0,1.0,148
28,160,0,6471310.0,2377759.5,10391759.0,1.0,157
29,159,0,6439138.0,2383183.25,10517970.0,1.0,160
30,158,0,6415318.0,2376511.5,10656751.0,1.0,159
31,156,0,6393099.0,2349117.0,10795099.0,1.0,158
32,154,0,6390591.5,2344785.0,10808700.0,1.0,156
33,153,0,6390489.5,2340550.5,10819958.0,1.0,154
34,152,192,6390404.0,2337808.25,10824548.0,1.0,153
35,151,64,6390068.0,2331331.75,10834431.0,1.0,152
36,149,192,6381864.5,2333347.5,10837372.0,1.0,151
37,145,64,6357904.0,2333919.75,10845329.0,1.0,149
38,144,0,6347489.5,2323578.0,10869040.0,1.0,145
39,140,0,6327286.5,2315089.5,10882798.0,1.0,144
40,133,0,6305575.5,2301923.5,10920860.0,1.0,140
41,128,0,6295154.0,2292548.5,10942724.0,1.0,133
42,116,0,6276052.0,2287687.25,10950040.0,1.0,128
43,120,0,6280224.0,2284009.5,10958970.0,1.0,116
44,126,0,6289200.5,2279753.75,10968313.0,1.0,120
45,127,0,6293982.0,2268781.0,10983712.0,1.0,126
46,129,192,6296950.5,2258447.0,10993579.0,1.0,127
47,121,64,6282083.5,2254734.25,11015481.0,1.0,129
48,118,0,6278443.0,2250839.5,11015325.0,1.0,121
49,119,0,6279568.0,2238728.25,11034103.0,1.0,118
50,113,0,6263497.5,2279949.0,10966860.0,1.0,116
51,112,0,6262302.0,2275712.75,10971813.0,1.0,113
52,110,0,6255138.0,2272769.25,10968763.0,1.0,112
53,108,0,6253318.0,2280831.75,10967856.0,1.0,110
54,107,160,6246896.0,2271851.25,10980688.0,1.0,113
55,105,64,6232443.0,2271285.0,10993540.0,1.0,107
56,102,0,6212364.5,2266976.25,11002415.0,1.0,105
57,97,0,6192396.0,2259169.75,11009329.0,1.0,102
58,94,160,6165177.0,2247511.5,11023177.0,1.0,97
59,92,64,6152958.5,2245667.75,11025173.0,1.0,94
60,90,0,6138427.0,2240841.5,11026083.0,1.0,92
61,87,0,6123489.5,2221966.5,11031024.0,1.0,90
62,85,0,6112138.0,2209486.0,11033001.0,1.0,87
63,83,0,6109154.0,2199439.25,11040907.0,1.0,85
64,81,0,6092419.5,2194570.0,11041896.0,1.0,83
65,78,0,6078380.5,2181175.5,11048817.0,1.0,81
66,76,0,6070013.0,2165954.75,11060677.0,1.0,78
67,73,0,6052388.0,2160169.75,11062653.0,1.0,76
68,70,0,6038943.0,2144644.25,11063642.0,1.0,73
69,67,0,6026989.5,2138861.0,11068583.0,1.0,70
70,66,192,6014146.0,2126076.0,11065618.0,1.0,67
71,63,64,5998607.0,2126076.0,11064630.0,1.0,66
72,155,0,6390763.0,2326353.25,10851204.0,1.0,151
73,150,0,6387130.5,2312038.75,10860712.0,1.0,155
74,147,192,6361489.5,2302890.5,10877876.0,1.0,150
75,143,64,6337122.5,2296792.75,10895739.0,1.0,147
76,138,0,6318466.5,2285941.25,10914470.0,1.0,143
77,137,0,6316685.0,2280372.75,10920646.0,1.0,138
78,136,0,6316669.5,2272925.5,10927224.0,1.0,137
79,135,0,6316669.5,2255943.0,10939181.0,1.0,136
80,134,0,6315599.0,2243833.75,10940239.0,1.0,135
81,139,0,6320677.0,2242630.5,10939173.0,1.0,134
82,131,0,6304138.0,2274904.0,10942188.0,1.0,137
83,130,0,6300521.0,2260660.0,10958911.0,1.0,131
84,125,0,6289193.0,2238347.5,10978708.0,1.0,130
85,124,0,6284864.5,2225339.5,10991212.0,1.0,125
86,122,192,6282091.5,2207958.75,11000657.0,1.0,124
87,115,64,6273669.5,2208495.75,11012157.0,1.0,122
88,114,0,6270630.5,2204267.25,11019235.0,1.0,115
89,111,0,6261091.5,2215257.5,11029146.0,1.0,114
90,106,0,6239599.0,2226165.75,11038892.0,1.0,111
91,103,0,6227654.0,2232259.5,11034118.0,1.0,106
92,101,0,6210911.5,2236331.75,11037989.0,1.0,103
93,100,0,6205536.5,2241626.75,11030126.0,1.0,101
94,96,0,6182091.5,2234769.25,11036524.0,1.0,100
95,93,0,6160724.0,2228617.0,11040962.0,1.0,96
96,91,0,6140911.5,2226220.5,11044774.0,1.0,93
97,88,0,6126482.0,2218314.25,11042884.0,1.0,91
98,84,0,6109747.5,2225011.5,11045849.0,1.0,88
99,79,0,6084654.0,2215878.75,11047829.0,1.0,84
100,77,0,6072107.0,2210095.5,11053759.0,1.0,79
101,71,0,6045810.0,2196396.25,11065618.0,1.0,77
102,161,64,6506614.5,2378976.25,10325532.0,1.0,160
103,162,160,6563919.5,2383843.5,10212599.0,1.0,161
104,163,0,6599864.5,2407593.5,10147540.0,1.0,162
105,164,0,6633458.5,2434408.0,10059673.0,1.0,163
106,165,0,6681685.0,2483675.5,9967634.0,1.0,164
107,166,0,6708552.0,2496527.0,9924146.0,1.0,165
108,167,0,6791005.5,2500298.5,9835091.0,1.0,166
109,172,0,6887833.5,2493062.25,9768009.0,1.0,167
110,181,64,6948443.0,2492267.25,9725497.0,1.0,172
111,206,192,7026489.5,2500829.75,9661415.0,1.0,181
112,215,0,7060068.0,2448519.25,9573364.0,1.0,206
113,216,0,7061177.0,2416195.0,9523829.0,1.0,215
114,212,0,7048013.0,2366829.75,9478333.0,1.0,216
115,211,0,7039779.0,2361509.5,9456864.0,1.0,212
116,207,0,7028325.5,2313712.75,9402302.0,1.0,211
117,203,0,7009857.0,2291994.0,9364774.0,1.0,207
118,199,0,6996068.0,2296306.5,9330177.0,1.0,203
119,191,0,6978239.5,2296853.25,9290446.0,1.0,199
120,182,0,6959122.5,2325468.5,9215325.0,1.0,191
121,205,0,7015286.5,2332775.25,9247942.0,1.0,182
122,236,0,7089974.0,2326078.0,9314165.0,1.0,205
123,275,192,7173029.0,2300505.5,9356669.0,1.0,236
124,329,64,7283575.5,2244189.25,9418938.0,1.0,275
125,331,0,7287161.5,2193960.75,9442657.0,1.0,329
126,336,0,7297318.0,2171433.25,9457485.0,1.0,331
127,334,0,7291341.5,2132468.5,9483185.0,1.0,336
128,326,0,7281779.0,2134294.75,9419927.0,1.0,334
129,325,0,7281779.0,2114203.0,9366552.0,1.0,326
130,324,0,7281779.0,2103853.25,9343817.0,1.0,325
131,328,0,7282380.5,2046622.75,9282536.0,1.0,324
132,349,0,7311060.0,1999743.875,9245966.0,1.0,328
133,367,0,7344521.0,1977521.25,9210384.0,1.0,349
134,371,0,7364068.0,1968683.375,9218360.0,1.0,367
135,388,0,7422560.0,1948601.375,9209466.0,1.0,371
136,395,0,7462036.5,1965767.375,9180888.0,1.0,388
137,398,0,7471341.5,1965581.75,9178860.0,1.0,395
138,400,0,7484169.5,1986880.625,9167009.0,1.0,398
139,403,0,7495427.0,1989367.0,9159317.0,1.0,400
140,407,0,7508130.5,2003927.5,9125563.0,1.0,403
141,414,0,7538833.5,2006962.625,9111626.0,1.0,407
142,421,0,7585458.5,2025249.75,9119591.0,1.0,414
143,430,0,7614458.5,2034437.25,9139274.0,1.0,421
144,399,0,7472810.0,1952880.625,9170024.0,1.0,398
145,372,0,7365904.0,1973544.625,9223138.0,1.0,371
146,376,0,7371513.0,1974767.375,9233208.0,1.0,372
147,366,0,7343325.5,1983304.5,9237071.0,1.0,349
148,374,0,7368716.5,1984523.25,9225208.0,1.0,366
149,383,0,7397099.0,1971128.625,9222243.0,1.0,374
150,332,0,7288052.0,2097156.0,9327017.0,1.0,324
151,351,0,7314482.0,2048990.0,9251673.0,1.0,332
152,369,0,7355114.5,1965507.625,9171993.0,1.0,351
153,380,0,7388536.5,1883325.875,9136497.0,1.0,369
154,378,0,7377255.5,1841386.5,9169978.0,1.0,380
155,387,0,7415497.5,1822732.125,9189853.0,1.0,378
156,377,0,7373654.0,1817632.625,9176872.0,1.0,378
157,386,0,7413779.0,1753054.5,9157595.0,1.0,377
158,385,0,7409497.5,1739958.75,9148278.0,1.0,386
159,391,0,7435185.0,1704001.75,9131524.0,1.0,385
160,397,0,7471091.5,1678583.75,9132310.0,1.0,391
161,340,0,7298966.5,2108103.25,9327009.0,1.0,332
162,342,160,7301935.0,2112386.5,9351747.0,1.0,340
163,346,64,7307982.0,2109337.75,9358872.0,1.0,342
164,344,0,7303239.5,2103882.5,9362614.0,1.0,346
165,343,0,7302583.5,2108986.0,9373634.0,1.0,344
166,177,0,6923864.5,2359562.25,9095728.0,1.0,182
167,173,0,6894591.5,2357736.0,8999853.0,1.0,177
168,174,0,6895786.5,2404921.75,8917817.0,1.0,173
169,171,0,6884732.0,2450279.0,8814032.0,1.0,174
170,169,0,6865310.0,2488027.0,8781415.0,1.0,171
171,168,0,6862021.0,2537341.5,8748798.0,1.0,169
172,176,0,6911021.0,2632320.0,8721122.0,1.0,168
173,185,0,6970177.0,2725775.25,8692462.0,1.0,176
174,202,0,7007521.0,2799138.5,8683563.0,1.0,185
175,224,0,7079521.0,2865806.5,8680599.0,1.0,202
176,240,0,7096849.0,2889245.75,8688505.0,1.0,224
177,262,0,7135685.0,2947695.0,8687517.0,1.0,240
178,268,0,7148833.5,3006447.0,8706298.0,1.0,262
179,286,0,7193052.0,3075548.5,8697403.0,1.0,268
180,297,0,7220833.5,3139476.25,8711239.0,1.0,286
181,299,0,7221732.0,3165960.75,8724091.0,1.0,297
182,305,0,7237864.5,3181486.0,8727056.0,1.0,299
183,317,0,7260271.0,3222277.0,8744845.0,1.0,305
184,320,0,7265052.0,3248456.75,8795255.0,1.0,317
185,316,0,7259372.5,3228062.25,8849618.0,1.0,320
186,312,0,7249513.0,3222886.5,8945493.0,1.0,316
187,321,0,7267138.0,3252718.5,8991946.0,1.0,312
188,330,0,7285661.5,3270984.25,9036423.0,1.0,321
189,327,0,7282075.5,3272810.25,9075962.0,1.0,330
190,323,0,7273716.5,3292292.75,9122415.0,1.0,327
191,337,0,7297614.5,3337954.75,9156021.0,1.0,323
192,339,0,7297911.5,3370224.25,9205442.0,1.0,337
193,341,0,7301794.5,3404318.0,9267712.0,1.0,339
194,348,0,7310161.5,3450589.5,9349747.0,1.0,341
195,362,0,7329583.5,3464288.75,9403122.0,1.0,348
196,353,0,7317333.5,3481031.0,9473298.0,1.0,362
197,363,0,7334060.0,3497468.5,9549407.0,1.0,353
198,358,0,7327193.0,3502339.5,9636388.0,1.0,363
199,354,0,7319122.5,3522431.5,9716446.0,1.0,358
200,356,0,7321216.5,3548001.75,9798485.0,1.0,354
201,368,0,7349302.0,3563831.75,9859767.0,1.0,356
202,379,0,7385154.0,3591837.75,9923024.0,1.0,368
203,381,0,7392318.0,3620453.0,9958606.0,1.0,379
204,370,0,7358560.0,3618322.0,9989247.0,1.0,381
205,347,0,7309568.0,3577226.25,10033724.0,1.0,370
206,335,0,7297013.0,3590011.5,10070294.0,1.0,347
207,304,0,7232185.0,3628976.25,10150356.0,1.0,335
208,300,0,7222325.5,3633238.0,10166169.0,1.0,304
209,306,0,7237864.5,3698079.75,10183962.0,1.0,300
210,313,0,7252200.5,3789708.75,10187915.0,1.0,306
211,310,0,7248614.5,3823195.0,10186927.0,1.0,313
212,318,0,7264450.5,3896253.75,10180997.0,1.0,310
213,322,0,7271325.5,3984535.0,10183962.0,1.0,318
214,308,0,7239654.0,4026240.0,10132563.0,1.0,322
215,233,0,7086693.0,2866720.5,8659845.0,1.0,224
216,243,0,7099536.5,2852716.5,8642052.0,1.0,233
217,247,0,7101333.5,2836886.5,8614376.0,1.0,243
218,235,0,7088482.0,2820449.0,8623271.0,1.0,247
219,225,0,7080114.5,2807663.75,8619317.0,1.0,235
220,222,0,7074739.5,2805228.25,8598563.0,1.0,225
221,234,0,7086989.5,2800966.5,8570888.0,1.0,222
222,242,0,7097443.0,2813751.75,8533325.0,1.0,234
223,252,0,7106107.0,2813142.25,8465126.0,1.0,242
224,254,0,7108802.0,2808880.5,8393962.0,1.0,252
225,256,0,7112380.5,2799747.75,8375180.5,1.0,254
226,238,0,7096247.5,2776613.0,8320821.5,1.0,256
227,237,0,7091474.0,2768697.0,8306981.5,1.0,238
228,223,0,7078325.5,2760783.0,8299075.0,1.0,237
229,244,0,7099833.5,2802488.0,8440419.0,1.0,252
230,241,0,7097443.0,2736429.5,8346520.5,1.0,244
231,255,0,7110888.0,2694115.0,8273376.0,1.0,241
232,261,0,7125232.0,2673415.75,8198259.0,1.0,255
233,263,0,7136583.5,2663369.0,8146861.0,1.0,261
234,267,0,7144950.5,2656064.25,8141919.5,1.0,263
235,249,0,7102825.5,2866111.0,8646005.0,1.0,233
236,250,0,7105349.0,2858222.5,8645161.0,1.0,249
237,246,0,7101208.5,2858150.25,8641126.0,1.0,250
238,253,0,7107154.0,2855740.0,8620435.0,1.0,246
239,248,0,7101763.0,2842286.75,8602657.0,1.0,253
240,251,0,7105919.5,2833769.25,8536517.0,1.0,248
241,257,0,7113161.5,2818085.75,8466368.0,1.0,251
242,258,0,7114888.0,2805124.75,8405798.0,1.0,257
243,260,0,7122091.5,2796923.5,8378259.0,1.0,258
244,264,0,7141638.0,2797884.5,8311157.0,1.0,260
245,270,0,7151943.0,2807613.0,8290446.5,1.0,264
246,282,0,7190154.0,2807632.5,8265598.5,1.0,270
247,284,0,7191380.5,2807794.75,8261489.5,1.0,282
248,293,0,7211138.0,2791175.5,8257669.0,1.0,284
249,309,0,7242786.5,2759583.75,8260755.0,1.0,293
250,285,0,7192693.0,2807597.5,8255751.0,1.0,284
251,288,0,7196857.0,2788734.25,8227067.5,1.0,285
252,289,0,7198005.5,2778933.25,8220098.5,1.0,288
253,279,0,7185239.5,2746703.0,8221087.0,1.0,289
254,280,0,7185427.0,2719892.25,8196719.5,1.0,279
255,296,0,7218286.5,2770439.25,8214993.0,1.0,289
256,290,0,7199177.0,2809437.25,8230493.0,1.0,285
257,298,0,7221224.0,2798591.5,8185575.5,1.0,290
258,283,0,7190708.5,2813105.25,8270567.5,1.0,282
259,294,0,7214708.5,2831415.75,8258696.5,1.0,283
260,295,0,7217716.5,2842318.0,8267548.0,1.0,294
261,302,0,7226068.0,2845347.5,8272653.5,1.0,295
262,301,0,7224286.5,2858747.75,8273520.5,1.0,302
263,266,0,7144200.5,2791161.75,8296782.0,1.0,264
264,269,0,7150263.0,2788265.5,8278212.0,1.0,266
265,272,0,7160927.0,2796626.75,8271512.5,1.0,269
266,274,0,7163325.5,2805179.5,8249759.0,1.0,272
267,278,0,7184888.0,2792605.25,8178650.0,1.0,274
268,281,0,7186810.0,2796566.25,8167888.0,1.0,278
269,271,0,7152552.0,2786949.0,8274520.5,1.0,269
270,277,0,7181864.5,2769847.5,8254274.5,1.0,271
271,291,0,7200435.0,2761312.25,8248688.5,1.0,277
272,292,0,7202325.5,2754482.25,8223833.0,1.0,291
273,273,0,7161552.0,2761951.0,8265454.0,1.0,271
274,276,0,7173513.0,2731486.0,8273321.5,1.0,273
275,170,0,6884427.0,2456976.25,8764614.0,1.0,169
276,175,0,6897997.5,2420245.75,8743056.0,1.0,170
277,178,0,6925466.5,2430087.75,8687497.0,1.0,175
278,179,0,6933286.5,2405703.0,8624403.0,1.0,178
279,180,0,6943372.5,2397247.75,8566220.0,1.0,179
280,186,0,6971560.0,2435251.75,8481997.0,1.0,180
281,187,0,6973419.5,2437456.75,8472231.0,1.0,186
282,192,0,6979857.0,2455673.5,8455454.0,1.0,187
283,193,0,6988810.0,2456910.0,8429712.0,1.0,192
284,194,0,6990583.5,2441044.75,8380505.0,1.0,193
285,184,0,6967489.5,2419228.25,8326923.0,1.0,194
286,183,0,6959568.0,2417281.0,8314911.0,1.0,184
287,190,0,6978161.5,2450312.25,8360552.0,1.0,183
288,197,0,6991388.0,2460628.75,8360356.5,1.0,190
289,200,0,6997958.5,2474632.5,8360356.5,1.0,197
290,201,0,7001841.5,2486199.0,8360356.5,1.0,200
291,188,0,6974521.0,2438042.75,8467071.0,1.0,187
292,189,0,6978083.5,2421587.75,8448478.0,1.0,188
293,195,0,6990677.0,2380191.25,8390282.0,1.0,189
294,204,0,7010482.0,2364326.0,8347704.0,1.0,195
295,208,0,7030864.5,2375324.0,8307071.5,1.0,204
296,214,0,7058482.0,2366187.25,8270563.5,1.0,208
297,196,0,6991232.0,2460050.5,8459360.0,1.0,188
298,198,0,6993888.0,2464308.25,8459267.0,1.0,196
299,210,0,7039036.5,2526941.25,8441380.0,1.0,198
300,213,0,7050950.5,2531484.25,8442454.0,1.0,210
301,245,0,7101130.5,2506904.0,8465067.0,1.0,213
