,sample,structure,x,y,z,r,parent
0,1,0,5809669.5,2312361.0,10864860.0,1.0,-1
1,4,0,5817669.5,2323822.0,10812126.0,1.0,1
2,8,0,5831239.5,2336007.5,10758021.0,1.0,4
3,11,0,5833544.5,2339374.75,10710130.0,1.0,8
4,22,0,5857341.5,2347245.75,10661298.0,1.0,11
5,24,0,5873560.0,2350763.5,10659396.0,1.0,22
6,51,0,5905802.0,2361103.25,10649353.0,1.0,24
7,53,0,5938841.5,2369816.25,10585224.0,1.0,51
8,54,0,5958083.5,2366656.0,10535013.0,1.0,53
9,56,0,5961935.0,2360892.25,10490606.0,1.0,54
10,63,0,5972318.0,2346501.75,10416938.0,1.0,56
11,73,0,5984224.0,2333708.75,10347228.0,1.0,63
12,76,0,5993435.0,2317488.0,10270470.0,1.0,73
13,78,0,5998521.0,2299415.75,10208638.0,1.0,76
14,94,0,6011841.5,2290017.25,10149954.0,1.0,78
15,103,0,6021888.0,2282386.5,10090415.0,1.0,94
16,111,0,6028474.0,2270958.75,10033540.0,1.0,103
17,115,0,6032091.5,2265933.25,10000700.0,1.0,111
18,85,160,6002388.0,2250845.5,9959903.0,1.0,115
19,74,64,5988716.5,2242236.0,9950364.0,1.0,85
20,72,0,5984052.0,2234671.75,9934864.0,1.0,74
21,81,0,5999013.0,2216884.5,9914673.0,1.0,72
22,96,0,6012872.5,2200058.25,9902079.0,1.0,81
23,104,0,6022091.5,2192833.75,9901149.0,1.0,96
24,128,0,6052974.0,2180552.5,9882587.0,1.0,104
25,142,0,6073802.0,2181150.25,9872646.0,1.0,128
26,160,192,6100193.0,2177501.75,9860782.0,1.0,142
27,179,64,6116474.0,2181158.0,9864216.0,1.0,160
28,181,0,6119599.0,2187822.0,9858849.0,1.0,179
29,101,0,6016880.5,2180226.25,9882786.0,1.0,96
30,117,0,6033911.5,2157439.25,9860513.0,1.0,101
31,122,0,6037513.0,2155070.0,9852294.0,1.0,117
32,112,0,6030622.5,2160656.0,9845489.0,1.0,122
33,114,0,6031450.5,2175792.75,9845470.0,1.0,112
34,105,0,6022935.0,2203890.5,9845122.0,1.0,114
35,97,0,6012989.5,2236816.25,9851892.0,1.0,105
36,88,0,6004919.5,2256527.0,9862493.0,1.0,97
37,98,0,6013279.0,2269706.75,9847079.0,1.0,88
38,123,0,6038013.0,2269919.75,9843243.0,1.0,98
39,130,0,6058279.0,2275544.75,9842228.0,1.0,123
40,137,0,6066255.5,2279454.75,9818247.0,1.0,130
41,132,0,6061396.0,2283503.75,9795903.0,1.0,137
42,145,0,6078685.0,2279788.75,9773946.0,1.0,132
43,152,0,6092357.0,2290716.5,9741235.0,1.0,145
44,154,0,6092950.5,2293599.25,9720103.0,1.0,152
45,159,0,6099888.0,2289619.0,9715060.0,1.0,154
46,187,0,6125825.5,2288300.5,9700700.0,1.0,159
47,205,0,6151849.0,2288650.25,9690704.0,1.0,187
48,211,0,6168099.0,2285865.0,9680954.0,1.0,205
