,sample,structure,x,y,z,r,parent
0,1,0,3102013.25,3484195.0,8895646.0,1.0,-1
1,2,0,3103528.75,3469193.0,8903345.0,1.0,1
2,3,0,3105036.5,3454191.25,8911044.0,1.0,2
3,4,0,3106075.75,3445953.0,8914485.0,1.0,3
4,5,0,3107107.0,3437716.5,8917927.0,1.0,4
5,6,0,3109177.25,3421240.0,8924806.0,1.0,5
6,7,0,3115880.25,3393663.75,8931653.0,1.0,6
7,8,0,3123349.0,3380269.25,8935606.0,1.0,7
8,10,192,3134700.75,3360482.25,8939560.0,1.0,8
9,11,64,3142169.5,3345566.25,8947470.0,1.0,10
10,9,0,3123513.25,3479677.5,8893360.0,1.0,1
11,12,0,3154614.75,3478703.0,8884329.0,1.0,9
12,13,0,3169544.5,3482206.75,8878091.0,1.0,12
13,14,0,3188044.5,3490120.75,8864536.0,1.0,13
14,15,0,3211989.75,3484046.75,8868919.0,1.0,14
15,16,0,3231700.75,3497398.25,8862950.0,1.0,15
16,17,0,3243685.0,3490732.25,8859567.0,1.0,16
17,18,0,3260333.5,3492197.0,8851485.0,1.0,17
18,19,0,3288786.5,3489810.25,8844681.0,1.0,18
19,20,0,3307864.75,3476124.75,8842778.0,1.0,19
20,21,0,3330552.25,3479335.75,8829419.0,1.0,20
21,25,0,3351310.0,3478595.5,8823759.0,1.0,21
22,27,0,3378099.0,3477333.75,8814048.0,1.0,25
23,29,0,3389935.0,3467579.75,8818048.0,1.0,27
24,34,0,3405411.5,3464859.25,8814692.0,1.0,29
25,31,0,3400208.5,3448744.0,8832942.0,1.0,34
26,36,0,3430630.25,3455687.25,8815595.0,1.0,34
27,45,0,3448599.0,3445660.0,8819079.0,1.0,36
28,50,0,3455771.0,3443210.75,8819169.0,1.0,45
29,66,0,3479653.75,3429331.75,8825981.0,1.0,50
30,56,0,3461114.75,3435939.25,8851685.0,1.0,66
31,74,0,3509114.75,3417829.75,8812622.0,1.0,66
32,88,0,3536989.75,3400622.75,8828915.0,1.0,74
33,95,64,3546833.5,3402286.75,8819646.0,1.0,88
34,83,0,3526255.25,3424271.25,8816927.0,1.0,95
35,78,0,3517880.25,3436617.0,8821544.0,1.0,83
36,70,0,3498185.0,3463925.5,8830880.0,1.0,78
37,64,0,3478138.25,3493798.5,8840126.0,1.0,70
38,62,0,3472474.0,3499320.0,8842044.0,1.0,64
39,58,0,3464114.75,3521415.75,8847739.0,1.0,62
40,53,0,3458130.25,3540652.0,8854946.0,1.0,58
41,48,0,3453403.75,3559201.0,8863544.0,1.0,53
42,47,0,3451560.0,3568060.25,8868438.0,1.0,48
43,43,0,3447380.25,3568054.5,8865427.0,1.0,47
44,37,0,3440200.75,3583271.25,8853673.0,1.0,43
45,41,0,3444919.5,3591494.0,8885763.0,1.0,47
46,40,160,3444411.5,3608783.0,8898146.0,1.0,41
47,38,64,3443794.5,3637462.75,8913935.0,1.0,40
48,44,0,3448567.75,3661956.75,8926759.0,1.0,38
49,46,0,3450950.75,3687117.0,8934712.0,1.0,44
50,49,0,3455505.25,3717390.5,8952899.0,1.0,46
51,54,0,3459958.5,3733704.75,8964021.0,1.0,49
52,59,160,3468888.25,3757913.75,8982810.0,1.0,54
53,60,64,3470708.5,3779712.75,8993392.0,1.0,59
54,63,0,3474966.25,3808021.25,9007720.0,1.0,60
55,67,0,3485114.75,3827990.0,9030466.0,1.0,63
56,68,0,3497591.25,3846292.75,9051243.0,1.0,67
57,71,0,3502341.25,3876271.25,9082978.0,1.0,68
58,73,0,3506513.25,3891943.0,9109563.0,1.0,71
59,77,0,3517317.75,3899275.25,9130435.0,1.0,73
60,85,0,3528638.25,3905347.5,9147200.0,1.0,77
61,93,0,3545349.0,3938521.25,9173927.0,1.0,85
62,97,0,3548333.5,3961953.0,9192665.0,1.0,93
63,108,0,3568060.0,3997255.5,9218399.0,1.0,97
64,110,0,3573442.75,4010480.25,9244079.0,1.0,108
65,101,0,3559021.0,4011300.5,9243134.0,1.0,110
66,94,0,3545989.75,4014267.25,9250989.0,1.0,101
67,90,0,3541192.75,4011300.5,9256290.0,1.0,94
68,116,0,3579982.0,4022349.25,9263923.0,1.0,110
69,114,0,3578263.25,4037974.25,9290517.0,1.0,116
70,119,0,3585317.75,4043445.0,9305091.0,1.0,114
71,124,160,3589583.5,4067884.5,9338970.0,1.0,119
72,130,64,3600341.25,4082269.25,9384450.0,1.0,124
73,137,0,3609872.5,4088650.25,9421048.0,1.0,130
74,141,0,3616349.0,4097776.75,9458614.0,1.0,137
75,143,160,3620833.5,4103816.0,9499091.0,1.0,141
76,151,64,3634396.0,4111798.25,9536649.0,1.0,143
77,158,0,3639997.5,4113257.25,9571856.0,1.0,151
78,154,0,3636497.5,4114841.25,9597923.0,1.0,158
79,166,0,3652646.0,4102023.0,9628579.0,1.0,154
80,174,0,3664911.5,4092892.25,9659224.0,1.0,166
81,176,0,3667817.75,4091054.5,9666067.0,1.0,174
82,185,0,3677052.25,4085521.25,9694833.0,1.0,176
83,189,160,3679255.25,4084370.75,9703728.0,1.0,185
84,192,0,3680927.25,4082134.5,9720360.0,1.0,189
85,188,0,3678052.25,4082494.0,9739259.0,1.0,192
86,184,0,3676224.0,4076119.0,9776849.0,1.0,188
87,180,0,3673864.75,4073972.5,9818380.0,1.0,184
88,183,0,3675661.5,4072144.25,9847282.0,1.0,180
89,196,0,3686982.0,4069745.75,9877614.0,1.0,183
90,201,0,3696567.75,4063658.0,9914630.0,1.0,196
91,209,0,3703771.0,4063042.75,9921978.0,1.0,201
92,224,0,3716286.5,4050277.0,9922110.0,1.0,209
93,244,0,3730255.25,4044183.25,9922868.0,1.0,224
94,258,0,3747919.5,4030359.25,9928532.0,1.0,244
95,267,0,3769364.75,4014966.5,9934989.0,1.0,258
96,273,0,3783341.25,3991822.0,9935728.0,1.0,267
97,225,0,3716864.75,4055130.5,9958704.0,1.0,209
98,246,0,3731810.0,4046603.25,9982349.0,1.0,225
99,254,0,3746474.0,4035652.0,10009013.0,1.0,246
100,264,0,3761802.25,4028683.25,10034880.0,1.0,254
101,278,0,3789005.25,4033613.0,10072442.0,1.0,264
102,322,0,3848614.75,4043570.0,10118794.0,1.0,278
103,350,0,3880583.5,4027181.5,10132837.0,1.0,322
104,372,0,3906263.25,4015306.5,10136579.0,1.0,350
105,396,0,3938560.0,4001872.75,10164462.0,1.0,372
106,412,0,3956521.0,3989947.0,10197892.0,1.0,396
107,415,0,3957208.5,3986142.25,10207954.0,1.0,412
108,407,0,3948138.25,3988052.5,10219681.0,1.0,415
109,399,0,3940364.75,3988304.5,10220669.0,1.0,407
110,402,0,3943021.0,3979652.0,10172329.0,1.0,399
111,401,0,3940607.0,3979011.5,10155353.0,1.0,402
112,418,0,3960075.75,3951011.5,10184899.0,1.0,401
113,395,0,3936794.5,3980869.0,10140579.0,1.0,401
114,404,0,3943638.25,3971722.5,10115856.0,1.0,395
115,413,0,3956966.25,3954695.0,10094118.0,1.0,404
116,419,0,3960224.0,3943078.0,10095501.0,1.0,413
117,424,0,3969482.0,3938824.0,10087474.0,1.0,419
118,433,0,3983591.25,3936990.0,10084216.0,1.0,424
119,440,0,3995911.5,3922693.0,10084063.0,1.0,433
120,483,0,4052669.5,3877826.0,10062368.0,1.0,440
121,513,0,4092169.5,3829781.0,10054989.0,1.0,483
122,521,0,4099099.0,3812142.25,10059993.0,1.0,513
123,541,0,4114810.0,3769572.0,10069384.0,1.0,521
124,430,0,3980989.75,3977785.0,10241294.0,1.0,415
125,449,0,4005107.0,3970482.25,10268083.0,1.0,430
126,463,0,4023997.5,3964404.0,10298821.0,1.0,449
127,481,0,4046794.5,3951019.25,10343192.0,1.0,463
128,489,0,4064786.5,3940669.75,10367896.0,1.0,481
129,497,0,4072427.25,3932738.0,10374763.0,1.0,489
130,511,0,4091521.0,3916913.75,10403642.0,1.0,497
131,532,0,4108974.0,3908177.5,10429614.0,1.0,511
132,534,0,4110278.75,3907206.75,10428704.0,1.0,532
133,539,0,4112435.0,3896495.75,10449216.0,1.0,534
134,555,0,4129739.75,3893947.0,10484567.0,1.0,539
135,581,0,4152427.25,3885841.5,10505271.0,1.0,555
136,592,0,4162497.5,3878591.5,10532981.0,1.0,581
137,603,0,4167599.0,3877970.5,10554712.0,1.0,592
138,613,0,4182942.75,3863964.5,10586329.0,1.0,603
139,634,0,4194161.5,3850540.75,10608017.0,1.0,613
140,643,0,4197872.5,3846923.5,10613028.0,1.0,634
141,648,0,4202349.0,3841433.25,10622927.0,1.0,643
142,663,0,4212810.0,3835982.25,10649622.0,1.0,648
143,674,0,4221779.0,3826271.25,10667399.0,1.0,663
144,695,0,4235513.0,3822540.75,10699899.0,1.0,674
145,713,0,4252232.0,3815882.5,10724794.0,1.0,695
146,743,0,4270161.5,3792730.25,10747642.0,1.0,713
147,758,0,4284560.0,3774609.25,10777458.0,1.0,743
148,760,0,4286068.0,3773279.0,10781880.0,1.0,758
149,780,0,4300068.0,3767749.75,10783931.0,1.0,760
150,799,0,4327427.0,3765331.75,10781974.0,1.0,780
151,812,0,4342841.5,3758562.25,10787353.0,1.0,799
152,844,0,4365130.5,3738554.5,10785989.0,1.0,812
153,858,0,4375489.5,3731816.25,10788974.0,1.0,844
154,877,0,4387763.0,3723908.0,10791903.0,1.0,858
155,879,64,4388575.5,3728160.0,10784024.0,1.0,877
156,892,0,4392654.0,3730609.25,10769177.0,1.0,879
157,889,0,4392029.0,3737214.5,10761470.0,1.0,892
158,926,0,4412958.5,3702052.5,10792231.0,1.0,877
159,948,0,4436872.5,3683744.0,10791927.0,1.0,926
160,983,0,4453607.0,3672195.0,10792923.0,1.0,948
161,1022,0,4472732.0,3650841.5,10782067.0,1.0,983
162,1044,0,4491825.5,3632597.5,10782997.0,1.0,1022
163,1062,0,4507372.5,3614960.75,10779271.0,1.0,1044
164,1108,0,4543411.5,3577585.75,10764716.0,1.0,1062
165,1120,0,4552200.5,3567867.0,10765255.0,1.0,1108
166,1148,0,4578482.0,3543976.25,10760122.0,1.0,1120
167,1162,0,4592232.0,3525175.5,10754435.0,1.0,1148
168,1188,0,4624427.0,3497365.0,10751310.0,1.0,1162
169,1204,0,4656185.0,3463988.0,10752454.0,1.0,1188
170,1216,0,4684247.5,3444538.75,10744513.0,1.0,1204
171,1226,0,4706349.0,3415888.5,10748427.0,1.0,1216
172,1231,0,4718904.0,3408749.75,10750372.0,1.0,1226
173,1238,0,4734443.0,3395783.0,10756333.0,1.0,1231
174,1256,160,4767896.0,3369847.5,10773114.0,1.0,1238
175,1294,64,4828833.5,3328206.75,10788450.0,1.0,1256
176,1315,0,4856318.0,3315999.75,10779079.0,1.0,1294
177,1316,0,4860583.5,3318443.0,10754372.0,1.0,1315
178,1324,192,4874755.5,3317341.5,10733071.0,1.0,1316
179,1325,64,4881982.0,3313501.75,10688134.0,1.0,1324
180,1329,0,4886825.5,3330583.75,10662427.0,1.0,1325
181,1332,0,4888763.0,3332509.5,10647063.0,1.0,1329
182,1338,192,4905161.5,3351917.75,10617946.0,1.0,1332
183,766,0,4289255.5,3762281.0,10803868.0,1.0,760
184,765,0,4288161.5,3753783.0,10829544.0,1.0,766
185,779,0,4300013.0,3745253.75,10849286.0,1.0,765
186,784,0,4307802.0,3738548.5,10882880.0,1.0,779
187,798,160,4326318.0,3726986.0,10922423.0,1.0,784
188,805,64,4335325.5,3718423.5,10939208.0,1.0,798
189,822,0,4346950.5,3713486.0,10959942.0,1.0,805
190,828,0,4352044.5,3710531.0,10984653.0,1.0,822
191,837,0,4357419.5,3695281.0,11004450.0,1.0,828
192,836,0,4357411.5,3679454.75,11017282.0,1.0,837
193,841,0,4362794.5,3670913.75,11034876.0,1.0,836
194,859,0,4376521.0,3665464.5,11068360.0,1.0,841
195,883,0,4389091.5,3664642.25,11092407.0,1.0,859
196,913,0,4402880.5,3659886.5,11112505.0,1.0,883
197,928,0,4413552.0,3657288.75,11138599.0,1.0,913
198,935,0,4419575.5,3664894.25,11154681.0,1.0,928
199,945,0,4430497.5,3661843.5,11180392.0,1.0,935
200,963,0,4445896.0,3654456.75,11204044.0,1.0,945
201,996,0,4457786.5,3647185.25,11219872.0,1.0,963
202,1040,0,4485263.0,3642947.0,11258442.0,1.0,996
203,1060,0,4504364.5,3638601.25,11284603.0,1.0,1040
204,1065,0,4509771.0,3633829.75,11307372.0,1.0,1060
205,1090,0,4530513.0,3614001.75,11354063.0,1.0,1065
206,1139,0,4565911.5,3607673.5,11407208.0,1.0,1090
207,1157,0,4588739.5,3593019.25,11451743.0,1.0,1139
208,1181,0,4612310.0,3580214.5,11489751.0,1.0,1157
209,1185,0,4619677.0,3571742.0,11504224.0,1.0,1181
210,1191,0,4628661.5,3569886.5,11522317.0,1.0,1185
211,1199,0,4649568.0,3565011.5,11542114.0,1.0,1191
212,1208,0,4667247.5,3558937.25,11562833.0,1.0,1199
213,1223,0,4703950.5,3545552.5,11582181.0,1.0,1208
214,1227,0,4709927.0,3542509.5,11588501.0,1.0,1223
215,1237,0,4727685.0,3529738.0,11595403.0,1.0,1227
216,1209,0,4667263.0,3576583.75,11542095.0,1.0,1199
217,987,0,4455075.5,3644160.0,11225813.0,1.0,996
218,969,0,4449450.5,3640744.0,11235829.0,1.0,987
219,989,0,4455638.0,3633425.5,11244696.0,1.0,969
220,999,0,4459560.0,3631968.5,11242649.0,1.0,989
221,1020,0,4471497.5,3633773.25,11237747.0,1.0,999
222,1036,0,4484052.0,3633177.5,11231423.0,1.0,1020
223,1034,0,4482286.5,3614331.75,11257427.0,1.0,999
224,1059,0,4503786.5,3603562.25,11260321.0,1.0,1034
225,1089,160,4530068.0,3607626.75,11253505.0,1.0,1059
226,1122,64,4553310.0,3605828.0,11259446.0,1.0,1089
227,1147,0,4578474.0,3592408.0,11265364.0,1.0,1122
228,1172,0,4605107.0,3574169.75,11275271.0,1.0,1147
229,1189,0,4624747.5,3563806.5,11277185.0,1.0,1172
230,1200,0,4649958.5,3551023.25,11285700.0,1.0,1189
