,sample,structure,x,y,z,r,parent
0,1,0,4971646.0,4260849.0,4717275.0,1.0,-1
1,6,0,4979411.5,4273747.5,4698493.5,1.0,1
2,7,0,4979427.0,4309527.0,4670825.5,1.0,6
3,4,0,4977607.0,4357839.5,4659853.0,1.0,7
4,17,0,4997997.5,4401599.0,4685560.0,1.0,4
5,28,0,5021193.0,4441187.0,4689532.5,1.0,17
6,34,0,5042232.0,4475154.0,4681107.0,1.0,28
7,39,0,5050341.5,4469763.0,4671130.5,1.0,34
8,67,0,5076263.0,4478472.0,4650443.0,1.0,39
9,76,0,5091138.0,4495034.5,4635157.5,1.0,67
10,87,0,5101880.5,4494716.5,4631208.5,1.0,76
11,104,0,5120279.0,4473363.0,4621290.5,1.0,87
12,111,0,5134755.5,4452665.5,4609431.0,1.0,104
13,132,0,5161958.5,4436829.5,4591630.5,1.0,111
14,139,0,5177138.0,4431058.0,4580079.5,1.0,132
15,143,0,5182560.0,4421605.0,4571989.5,1.0,139
16,148,0,5195716.5,4397966.5,4551255.5,1.0,143
17,164,0,5214810.0,4388472.0,4531388.0,1.0,148
18,176,0,5230325.5,4361361.0,4511634.5,1.0,164
19,188,0,5236919.5,4357304.0,4504720.0,1.0,176
20,219,0,5254904.0,4342452.5,4485857.0,1.0,188
21,238,0,5272177.0,4327081.5,4471091.5,1.0,219
22,254,0,5286536.5,4316421.5,4457279.0,1.0,238
23,266,0,5297810.0,4299835.5,4443404.0,1.0,254
24,275,0,5308029.0,4292525.0,4432568.0,1.0,266
25,290,0,5312833.5,4285292.5,4430607.0,1.0,275
26,308,0,5319982.0,4245964.5,4430575.5,1.0,290
27,305,0,5318880.5,4231042.5,4427603.0,1.0,308
28,293,0,5314013.0,4225007.5,4428575.5,1.0,305
29,317,0,5323263.0,4204866.5,4430513.0,1.0,293
30,325,0,5324810.0,4199372.5,4433497.5,1.0,317
31,309,0,5319989.5,4197056.0,4441505.5,1.0,325
32,336,0,5328974.0,4180571.75,4449271.0,1.0,309
33,349,0,5332583.5,4180526.75,4453243.5,1.0,336
34,328,0,5327825.5,4185357.0,4456439.0,1.0,349
35,347,0,5332536.5,4184683.0,4431575.5,1.0,325
36,353,0,5334333.5,4162384.25,4427532.5,1.0,347
37,383,0,5343896.0,4146657.75,4422614.5,1.0,353
38,417,160,5354068.0,4143982.0,4423591.5,1.0,383
39,397,64,5347904.0,4150079.5,4429431.0,1.0,417
40,401,0,5349318.0,4145808.0,4447380.5,1.0,397
41,472,0,5374404.0,4137302.25,4460095.0,1.0,401
42,514,0,5389552.0,4141560.0,4465126.5,1.0,472
43,562,0,5407185.0,4147060.0,4465169.5,1.0,514
44,581,0,5419833.5,4156802.25,4473087.5,1.0,562
45,588,0,5423114.5,4156204.5,4473970.0,1.0,581
46,273,0,5306872.5,4221929.0,4433556.0,1.0,293
47,269,0,5304450.5,4211556.0,4447396.0,1.0,273
48,284,0,5310458.5,4203126.5,4446376.5,1.0,269
49,329,0,5327849.0,4189640.25,4448095.0,1.0,284
50,382,0,5343786.5,4165900.0,4436564.0,1.0,329
51,467,0,5373029.0,4142651.75,4436962.5,1.0,382
52,324,0,5324786.5,4219193.0,4435564.0,1.0,305
53,368,0,5338529.0,4198777.0,4443372.5,1.0,324
54,391,0,5346302.0,4179327.75,4455251.5,1.0,368
55,436,0,5358833.5,4164419.5,4457255.5,1.0,391
