,sample,structure,x,y,z,r,parent
0,1,0,7369911.5,6561111.0,5328919.5,1.0,-1
1,2,0,7371708.5,6556544.5,5325954.5,1.0,1
2,3,0,7379771.0,6550152.0,5334853.0,1.0,2
3,4,0,7394411.5,6549542.5,5335841.5,1.0,3
4,5,0,7407857.0,6536148.0,5341771.0,1.0,4
5,6,0,7417114.5,6528843.5,5347700.5,1.0,5
6,7,0,7435638.0,6523667.5,5359560.0,1.0,6
7,8,0,7450880.5,6518189.0,5372411.5,1.0,7
8,9,64,7466114.5,6518189.0,5385259.5,1.0,8
9,10,192,7474185.0,6514534.5,5401075.5,1.0,9
10,11,0,7477763.0,6499009.5,5401075.5,1.0,10
11,12,0,7485833.5,6479222.0,5402064.0,1.0,11
12,13,64,7492700.5,6466132.5,5402064.0,1.0,12
13,14,192,7502263.0,6453042.5,5409970.0,1.0,13
14,16,0,7507646.0,6448781.0,5409970.0,1.0,14
15,15,0,7503458.5,6443911.5,5409970.0,1.0,16
16,17,0,7512122.5,6444519.0,5410958.5,1.0,16
17,19,0,7528552.0,6436300.5,5417876.5,1.0,17
18,20,0,7539013.0,6424427.0,5418864.5,1.0,19
19,21,0,7544685.0,6408904.0,5411947.0,1.0,20
20,22,0,7555443.0,6383027.0,5412935.0,1.0,21
21,23,64,7565005.5,6365068.0,5409970.0,1.0,22
22,24,160,7590396.0,6329755.5,5412935.0,1.0,23
23,25,0,7604443.0,6310273.0,5416888.0,1.0,24
24,26,0,7619380.5,6288050.5,5424798.5,1.0,25
25,27,64,7630732.0,6271306.0,5433693.0,1.0,26
26,28,192,7648060.0,6248171.5,5442587.5,1.0,27
27,29,0,7658818.0,6235993.5,5451482.0,1.0,28
28,30,0,7672255.5,6217120.5,5458404.0,1.0,29
29,31,0,7698794.5,6195851.0,5463529.0,1.0,30
30,33,0,7716005.5,6181195.0,5472318.0,1.0,31
31,40,0,7753099.0,6155009.5,5481325.5,1.0,33
32,45,0,7779974.0,6129441.0,5487177.0,1.0,40
33,52,0,7815208.5,6108730.0,5494134.5,1.0,45
34,65,0,7849849.0,6084386.0,5498341.5,1.0,52
35,62,0,7847482.0,6099239.5,5480236.0,1.0,65
36,75,0,7878357.0,6065538.5,5503052.0,1.0,65
37,68,0,7858114.5,6083546.5,5478154.0,1.0,75
38,59,0,7842099.0,6094142.0,5452560.0,1.0,68
39,55,0,7822435.0,6110114.5,5425943.0,1.0,59
40,48,0,7794325.5,6125165.5,5382368.5,1.0,55
41,43,0,7770989.5,6127630.5,5365626.5,1.0,48
42,57,0,7833239.5,6130044.5,5458900.0,1.0,59
43,54,0,7819997.5,6159275.0,5467423.5,1.0,57
44,53,0,7816435.0,6171064.0,5457560.0,1.0,54
45,49,0,7798474.0,6170722.0,5450607.0,1.0,53
46,47,192,7782364.5,6196396.0,5431970.0,1.0,49
47,51,0,7810216.5,6186036.5,5474337.5,1.0,54
48,44,0,7776966.5,6235161.5,5476927.0,1.0,51
49,84,0,7898286.5,6049947.0,5508896.0,1.0,75
50,95,0,7934708.5,6025327.5,5509075.5,1.0,84
51,103,0,7953263.0,6004009.5,5513802.0,1.0,95
52,123,0,7985521.0,5979064.0,5518989.5,1.0,103
53,134,0,8005255.5,5959140.0,5522802.0,1.0,123
54,157,0,8025013.0,5948570.0,5529626.5,1.0,134
55,164,0,8028568.0,5973579.5,5537114.5,1.0,157
56,173,0,8035114.5,5995450.5,5543482.0,1.0,164
57,244,0,8054255.5,6017825.5,5555993.5,1.0,173
58,288,0,8068560.0,6026497.5,5553435.0,1.0,244
59,358,0,8089466.5,6034398.0,5559357.0,1.0,288
60,396,0,8095896.0,6047257.5,5567126.5,1.0,358
61,410,0,8098591.5,6056085.5,5571079.5,1.0,396
62,491,0,8113529.0,6037515.0,5580962.5,1.0,410
63,528,0,8122357.0,6030239.5,5587044.5,1.0,491
64,187,0,8038685.0,5931509.5,5531345.0,1.0,157
65,212,0,8044107.0,5922435.0,5531665.5,1.0,187
66,369,0,8092044.5,5872685.0,5533134.5,1.0,212
67,351,0,8087724.0,5873167.5,5542493.5,1.0,369
68,354,0,8088724.0,5885296.5,5559302.0,1.0,351
69,320,0,8081122.5,5901706.5,5585009.5,1.0,354
70,339,0,8085786.5,5930263.0,5605556.0,1.0,320
71,424,160,8100349.0,5946015.0,5619751.5,1.0,339
72,463,64,8108232.0,5945593.5,5621630.5,1.0,424
73,290,0,8069036.5,5896241.5,5598888.0,1.0,320
74,175,0,8035700.5,5900372.5,5605009.5,1.0,290
75,449,0,8105654.0,5909620.5,5570177.0,1.0,354
76,532,0,8122927.0,5921818.0,5579111.0,1.0,449
77,443,64,8104443.0,5857864.5,5531634.5,1.0,369
78,445,0,8105021.0,5880376.5,5519755.5,1.0,443
79,460,0,8107966.5,5894181.0,5520755.5,1.0,445
80,432,64,8102372.5,5900448.5,5527818.0,1.0,460
81,342,0,8086505.5,5932825.5,5524837.5,1.0,432
82,306,0,8077833.5,5969312.0,5521579.5,1.0,342
83,266,0,8063193.0,6007062.0,5515661.5,1.0,306
84,221,0,8045904.0,6030189.0,5502025.0,1.0,266
85,185,0,8038239.5,6040560.0,5501892.0,1.0,221
86,200,0,8042122.5,6058823.5,5497939.0,1.0,185
87,186,0,8038536.5,6064913.5,5497939.0,1.0,200
88,162,0,8027779.0,6068261.0,5484099.0,1.0,186
89,146,0,8017325.5,6061868.5,5466310.0,1.0,162
90,412,0,8099068.0,5910259.5,5543989.5,1.0,432
91,434,0,8103247.5,5932863.0,5550931.0,1.0,412
92,441,0,8104396.0,5949777.0,5548380.5,1.0,434
93,470,0,8109911.5,5959452.5,5541333.5,1.0,441
94,529,0,8122380.5,5962294.5,5527958.5,1.0,470
95,605,0,8140880.5,5952187.0,5525349.0,1.0,529
96,704,0,8159958.5,5957021.0,5524767.0,1.0,605
97,767,0,8167904.0,5948931.0,5511775.0,1.0,704
98,468,0,8109247.5,5903318.0,5511782.5,1.0,460
99,536,0,8122989.5,5912070.0,5505083.5,1.0,468
100,566,0,8131919.5,5928513.0,5504954.5,1.0,536
101,587,0,8137224.0,5939907.5,5506568.0,1.0,566
102,656,0,8151154.0,5933921.5,5503798.5,1.0,587
103,702,0,8159560.0,5933378.5,5506818.0,1.0,656
104,856,192,8180302.0,5951611.0,5522712.5,1.0,702
105,622,160,8142669.5,5947384.5,5501974.0,1.0,587
106,614,64,8141583.5,5969263.0,5490572.0,1.0,622
107,700,0,8159380.5,5970423.5,5476322.0,1.0,614
108,718,0,8160739.5,5972493.5,5487501.5,1.0,700
109,694,0,8158200.5,5972310.0,5491669.5,1.0,718
110,679,0,8155232.0,5975374.5,5502962.5,1.0,694
111,698,0,8158810.0,5967445.0,5506935.0,1.0,679
112,696,0,8158771.0,5960136.0,5514841.5,1.0,698
113,670,192,8154052.0,5957132.5,5514146.0,1.0,696
114,646,64,8149200.5,5953400.0,5513411.5,1.0,670
115,599,0,8139114.5,5946152.0,5507669.5,1.0,646
116,574,0,8133716.5,5942169.5,5505966.5,1.0,599
117,774,192,8168982.0,5947478.0,5499966.5,1.0,622
118,887,64,8184544.5,5957743.5,5504044.5,1.0,774
119,429,0,8101825.5,5911419.5,5510923.5,1.0,468
120,400,0,8097247.5,5920605.0,5498001.5,1.0,429
121,333,0,8084114.5,5918126.5,5485154.0,1.0,400
