,Command,Number of Files,Overall Image Size,Time
0,Single,1,134217728,29.761990785598755
1,Multiple,1,134217728,25.21900987625122
2,Single,8,134217728,29.272929430007935
3,Multiple,8,134217728,70.98626947402954
4,Single,64,134217728,59.01619219779968
5,Multiple,64,134217728,427.00883769989014
6,Single,1,1073741824,117.8977963924408
7,Multiple,1,1073741824,107.5443983078003
8,Single,8,1073741824,169.32221055030823
9,Multiple,8,1073741824,212.83417749404907
10,Single,64,1073741824,196.53893208503723
11,Multiple,64,1073741824,551.2437951564789
12,Single,1,8589934592,740.2976291179657
13,Multiple,1,8589934592,690.7224969863892
14,Single,8,8589934592,847.6981892585754
15,Multiple,8,8589934592,849.9338564872742
16,Single,64,8589934592,1312.339361667633
17,Multiple,64,8589934592,1684.488204717636
